Temp,Lumin,Mag,Name
3068,0.0024,16.12,BrownDwarf
3042,0.0005,16.6,BrownDwarf
2600,0.0003,18.7,BrownDwarf
2800,0.0002,16.65,BrownDwarf
1939,0.000138,20.06,BrownDwarf
2840,0.00065,16.98,BrownDwarf
2637,0.00073,17.22,BrownDwarf
2600,0.0004,17.4,BrownDwarf
2650,0.00069,17.45,BrownDwarf
2700,0.00018,16.05,BrownDwarf
3600,0.0029,10.69,RedDwarf
3129,0.0122,11.79,RedDwarf
3134,0.0004,13.21,RedDwarf
3628,0.0055,10.48,RedDwarf
2650,0.0006,11.782,RedDwarf
3340,0.0038,13.07,RedDwarf
2799,0.0018,14.79,RedDwarf
3692,0.00367,10.8,RedDwarf
3192,0.00362,13.53,RedDwarf
3441,0.039,11.18,RedDwarf
25000,0.056,10.58,WhiteDwarf
7740,0.00049,14.02,WhiteDwarf
7220,0.00017,14.23,WhiteDwarf
8500,0.0005,14.5,WhiteDwarf
16500,0.013,11.89,WhiteDwarf
12990,8.5e-05,12.23,WhiteDwarf
8570,0.00081,14.2,WhiteDwarf
7700,0.00011,14.47,WhiteDwarf
11790,0.00015,12.59,WhiteDwarf
7230,8e-05,14.08,WhiteDwarf
39000,204000.0,-4.7,MainSequence
30000,28840.0,-4.2,MainSequence
15276,1136.0,-1.97,MainSequence
9700,74.0,0.16,MainSequence
5800,0.81,5.05,MainSequence
8052,8.7,2.42,MainSequence
6757,1.43,2.41,MainSequence
6380,1.35,2.93,MainSequence
5936,1.357,4.46,MainSequence
5587,0.819,5.03,MainSequence
3826,200000.0,-6.93,SuperGiant
3365,340000.0,-6.2,SuperGiant
3270,150000.0,-6.02,SuperGiant
3200,195000.0,-7.22,SuperGiant
3008,280000.0,-6.0,SuperGiant
3600,320000.0,-6.6,SuperGiant
3575,123000.0,-6.78,SuperGiant
3574,200000.0,-5.24,SuperGiant
3625,184000.0,-6.74,SuperGiant
33750,220000.0,-6.1,SuperGiant
3490,270000.0,-9.4,HyperGiant
3750,283000.0,-7.63,HyperGiant
3834,272000.0,-9.2,HyperGiant
3749,550000.0,-8.05,HyperGiant
3650,310000.0,-7.79,HyperGiant
3450,263000.0,-11.75,HyperGiant
3660,363000.0,-11.92,HyperGiant
3450,174000.0,-11.28,HyperGiant
3752,209000.0,-11.24,HyperGiant
3535,195000.0,-11.36,HyperGiant
3341,0.0056,16.23,BrownDwarf
